Complex ID,SMILES,Orig Rank,Model Conf,CNN Pose Score,Affinity (pK),Vina Score,File Path
complex_1,O=C1NC(=O)C(F)=CN1,5,0.26,0.49429,3.43672,-2.77941,results/complex_1/rank5_confidence0.26.sdf
complex_1,O=C1NC(=O)C(F)=CN1,21,0.15,0.4768,3.51351,0.40372,results/complex_1/rank21_confidence0.15.sdf
complex_1,O=C1NC(=O)C(F)=CN1,5,0.28,0.46714,3.39072,-2.08024,results/complex_1/rank5_confidence0.28.sdf
complex_1,O=C1NC(=O)C(F)=CN1,4,0.27,0.46,3.37021,-2.06665,results/complex_1/rank4_confidence0.27.sdf
complex_1,O=C1NC(=O)C(F)=CN1,11,0.23,0.45854,3.36325,-2.32967,results/complex_1/rank11_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,13,0.2,0.45518,3.3937,-2.79871,results/complex_1/rank13_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,27,-0.62,0.4469,3.50477,-1.17513,results/complex_1/rank27_confidence-0.62.sdf
complex_1,O=C1NC(=O)C(F)=CN1,27,-0.64,0.43462,3.51833,-1.40553,results/complex_1/rank27_confidence-0.64.sdf
complex_1,O=C1NC(=O)C(F)=CN1,12,0.21,0.43371,3.41905,-2.93582,results/complex_1/rank12_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,15,0.2,0.43336,3.36532,-2.72445,results/complex_1/rank15_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,13,0.21,0.43332,3.36028,-2.56394,results/complex_1/rank13_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,14,0.2,0.42138,3.35119,-2.56864,results/complex_1/rank14_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,7,0.24,0.41651,3.34654,-1.91611,results/complex_1/rank7_confidence0.24.sdf
complex_1,O=C1NC(=O)C(F)=CN1,18,0.2,0.41333,3.33951,-2.1518,results/complex_1/rank18_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,8,0.23,0.40908,3.33114,-1.92964,results/complex_1/rank8_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,17,0.2,0.40852,3.32898,-2.0126,results/complex_1/rank17_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,9,0.22,0.40839,3.33162,-1.85066,results/complex_1/rank9_confidence0.22.sdf
complex_1,O=C1NC(=O)C(F)=CN1,11,0.21,0.40778,3.32641,-1.9569,results/complex_1/rank11_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,9,0.24,0.40669,3.335,-1.85637,results/complex_1/rank9_confidence0.24.sdf
complex_1,O=C1NC(=O)C(F)=CN1,10,0.23,0.40657,3.32888,-1.88828,results/complex_1/rank10_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,16,0.2,0.40606,3.32324,-2.21173,results/complex_1/rank16_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,15,0.21,0.40391,3.39131,-0.62995,results/complex_1/rank15_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,23,0.13,0.40345,3.43374,-0.03839,results/complex_1/rank23_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,10,0.22,0.399,3.35841,-1.75324,results/complex_1/rank10_confidence0.22.sdf
complex_1,O=C1NC(=O)C(F)=CN1,14,0.21,0.39664,3.31909,-1.53395,results/complex_1/rank14_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,18,0.19,0.3949,3.39549,-0.58195,results/complex_1/rank18_confidence0.19.sdf
complex_1,O=C1NC(=O)C(F)=CN1,22,0.13,0.39423,3.41614,0.05084,results/complex_1/rank22_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,19,0.18,0.38067,3.3069,-1.22941,results/complex_1/rank19_confidence0.18.sdf
complex_1,O=C1NC(=O)C(F)=CN1,20,0.17,0.37644,3.34022,-1.58217,results/complex_1/rank20_confidence0.17.sdf
complex_1,O=C1NC(=O)C(F)=CN1,23,0.1,0.37368,3.34843,-1.89411,results/complex_1/rank23_confidence0.10.sdf
complex_1,O=C1NC(=O)C(F)=CN1,24,0.08,0.37262,3.4335,-1.83316,results/complex_1/rank24_confidence0.08.sdf
complex_1,O=C1NC(=O)C(F)=CN1,30,-1.58,0.37183,3.57169,-2.28512,results/complex_1/rank30_confidence-1.58.sdf
complex_1,O=C1NC(=O)C(F)=CN1,20,0.16,0.36958,3.31259,-0.65898,results/complex_1/rank20_confidence0.16.sdf
complex_1,O=C1NC(=O)C(F)=CN1,22,0.14,0.36209,3.31737,-0.70291,results/complex_1/rank22_confidence0.14.sdf
complex_1,O=C1NC(=O)C(F)=CN1,29,-1.41,0.36074,3.37675,-1.54371,results/complex_1/rank29_confidence-1.41.sdf
complex_1,O=C1NC(=O)C(F)=CN1,30,-1.32,0.34863,3.50557,-2.45235,results/complex_1/rank30_confidence-1.32.sdf
complex_1,O=C1NC(=O)C(F)=CN1,24,0.04,0.3299,3.33032,-0.57599,results/complex_1/rank24_confidence0.04.sdf
complex_1,O=C1NC(=O)C(F)=CN1,26,-0.44,0.31752,3.36195,-2.51647,results/complex_1/rank26_confidence-0.44.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,2,-0.14,0.55179,5.39157,11.17307,results/complex_2/rank2_confidence-0.14.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,4,-0.48,0.5311,5.44697,6.6939,results/complex_2/rank4_confidence-0.48.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,3,-0.19,0.51468,5.29391,12.51381,results/complex_2/rank3_confidence-0.19.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,5,-0.52,0.50853,5.22831,19.80583,results/complex_2/rank5_confidence-0.52.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,1,-0.01,0.50249,5.53918,2.60943,results/complex_2/rank1_confidence-0.01.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,6,-0.67,0.48415,5.14425,-0.51051,results/complex_2/rank6_confidence-0.67.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,1,0.1,0.45134,5.30875,0.67328,results/complex_2/rank1_confidence0.10.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,14,-1.79,0.44577,4.69735,8.58583,results/complex_2/rank14_confidence-1.79.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,11,-1.22,0.4279,5.29575,-1.32895,results/complex_2/rank11_confidence-1.22.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,19,-1.79,0.42537,5.27477,8.47895,results/complex_2/rank19_confidence-1.79.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,9,-1.19,0.42425,5.21693,-2.99281,results/complex_2/rank9_confidence-1.19.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,25,-1.99,0.42405,5.38987,-3.56329,results/complex_2/rank25_confidence-1.99.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,13,-1.77,0.41922,5.39853,-1.15955,results/complex_2/rank13_confidence-1.77.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,23,-1.88,0.41451,5.16521,-2.41306,results/complex_2/rank23_confidence-1.88.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,3,-0.15,0.4057,5.29622,8.32009,results/complex_2/rank3_confidence-0.15.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,9,-0.87,0.40418,5.26493,-3.5966,results/complex_2/rank9_confidence-0.87.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,12,-1.65,0.3987,5.13262,-3.18891,results/complex_2/rank12_confidence-1.65.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,24,-1.93,0.39719,5.26764,7.24856,results/complex_2/rank24_confidence-1.93.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,2,-0.08,0.39508,5.16397,-2.97433,results/complex_2/rank2_confidence-0.08.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,17,-1.51,0.39293,5.34057,-3.76106,results/complex_2/rank17_confidence-1.51.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,16,-1.82,0.38202,4.71275,5.71304,results/complex_2/rank16_confidence-1.82.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,18,-1.73,0.36915,5.1102,0.38506,results/complex_2/rank18_confidence-1.73.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,16,-1.48,0.35906,4.87498,6.42344,results/complex_2/rank16_confidence-1.48.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,5,-0.56,0.35055,5.2792,-5.75179,results/complex_2/rank5_confidence-0.56.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,15,-1.79,0.33883,5.03757,3.43691,results/complex_2/rank15_confidence-1.79.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,4,-0.47,0.32005,5.04961,-1.77967,results/complex_2/rank4_confidence-0.47.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,9,-1.25,0.55703,6.68643,9.85306,results/complex_0/rank9_confidence-1.25.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.54,0.5497,6.80693,2.47468,results/complex_0/rank3_confidence-0.54.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,10,-1.29,0.54657,6.80939,15.80099,results/complex_0/rank10_confidence-1.29.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,11,-1.4,0.53792,6.78275,13.31971,results/complex_0/rank11_confidence-1.40.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,4,-0.72,0.53574,6.97378,4.77922,results/complex_0/rank4_confidence-0.72.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.07,0.52499,7.01372,-6.77595,results/complex_0/rank1_confidence-0.07.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.76,0.51212,7.02989,1.1634,results/complex_0/rank1_confidence-0.76.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.44,0.47885,6.76848,-5.62703,results/complex_0/rank3_confidence-0.44.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,8,-1.21,0.47455,6.68472,-1.16643,results/complex_0/rank8_confidence-1.21.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,12,-1.45,0.47223,6.67312,9.63334,results/complex_0/rank12_confidence-1.45.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,15,-1.64,0.46125,6.63837,7.27439,results/complex_0/rank15_confidence-1.64.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,6,-1.08,0.44605,6.53762,0.49879,results/complex_0/rank6_confidence-1.08.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.23,0.44188,6.73968,-3.62677,results/complex_0/rank1_confidence-0.23.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,11,-1.34,0.43808,6.70804,7.98069,results/complex_0/rank11_confidence-1.34.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,2,-0.42,0.43549,6.61805,-2.4627,results/complex_0/rank2_confidence-0.42.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,4,-0.58,0.43285,6.50409,9.07832,results/complex_0/rank4_confidence-0.58.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,18,-1.7,0.42766,6.50653,19.48548,results/complex_0/rank18_confidence-1.70.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,15,-1.6,0.42,6.56415,8.81371,results/complex_0/rank15_confidence-1.60.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,5,-0.88,0.41922,6.68449,1.89516,results/complex_0/rank5_confidence-0.88.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,14,-1.57,0.41257,6.52219,4.55844,results/complex_0/rank14_confidence-1.57.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,20,-1.78,0.4094,6.55509,8.17734,results/complex_0/rank20_confidence-1.78.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,19,-1.73,0.40524,6.51009,16.28157,results/complex_0/rank19_confidence-1.73.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,17,-1.64,0.40003,6.4662,17.33925,results/complex_0/rank17_confidence-1.64.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,17,-1.97,0.39757,6.82462,7.36696,results/complex_0/rank17_confidence-1.97.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,5,-0.76,0.39674,6.75111,0.07303,results/complex_0/rank5_confidence-0.76.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,8,-1.17,0.39507,6.46954,6.04167,results/complex_0/rank8_confidence-1.17.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,7,-1.08,0.39506,6.47777,7.83925,results/complex_0/rank7_confidence-1.08.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-1.43,0.39225,6.48687,5.76499,results/complex_0/rank3_confidence-1.43.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,21,-1.81,0.39005,6.63248,4.94688,results/complex_0/rank21_confidence-1.81.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,6,-1.05,0.3842,6.78369,-0.98292,results/complex_0/rank6_confidence-1.05.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,16,-1.61,0.36196,6.22506,30.24148,results/complex_0/rank16_confidence-1.61.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,9,-1.29,0.35492,6.27024,13.88573,results/complex_0/rank9_confidence-1.29.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,13,-1.52,0.35449,6.56156,-1.61005,results/complex_0/rank13_confidence-1.52.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,2,-1.26,0.35217,6.26151,12.66414,results/complex_0/rank2_confidence-1.26.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,10,-1.4,0.34939,6.53705,20.27654,results/complex_0/rank10_confidence-1.40.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,16,-1.89,0.3464,6.35235,27.95652,results/complex_0/rank16_confidence-1.89.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,2,-0.29,0.33659,6.70809,-5.77514,results/complex_0/rank2_confidence-0.29.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,7,-1.17,0.33014,6.46274,-4.13411,results/complex_0/rank7_confidence-1.17.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,13,-1.48,0.31124,6.18568,7.15113,results/complex_0/rank13_confidence-1.48.sdf
complex_1,O=C1NC(=O)C(F)=CN1,2,0.26,0.77187,3.73573,-3.74256,results/complex_1/rank2_confidence0.26.sdf
complex_1,O=C1NC(=O)C(F)=CN1,19,0.16,0.74436,3.71313,-2.18187,results/complex_1/rank19_confidence0.16.sdf
complex_1,O=C1NC(=O)C(F)=CN1,25,0.01,0.73502,3.72194,-0.91036,results/complex_1/rank25_confidence0.01.sdf
complex_1,O=C1NC(=O)C(F)=CN1,28,-0.66,0.68234,3.8808,12.08391,results/complex_1/rank28_confidence-0.66.sdf
complex_1,O=C1NC(=O)C(F)=CN1,2,0.3,0.66594,3.62016,-3.48744,results/complex_1/rank2_confidence0.30.sdf
