Complex ID,SMILES,Orig Rank,Model Conf,CNN Pose Score,Affinity (pK),Vina Score,File Path
complex_1,O=C1NC(=O)C(F)=CN1,28,-0.87,0.62946,3.70979,13.1068,results/complex_1/rank28_confidence-0.87.sdf
complex_1,O=C1NC(=O)C(F)=CN1,29,-0.73,0.62501,3.68433,9.85341,results/complex_1/rank29_confidence-0.73.sdf
complex_1,O=C1NC(=O)C(F)=CN1,25,0.07,0.58189,3.49687,-3.20561,results/complex_1/rank25_confidence0.07.sdf
complex_1,O=C1NC(=O)C(F)=CN1,26,-0.02,0.55938,3.63041,2.47227,results/complex_1/rank26_confidence-0.02.sdf
complex_1,O=C1NC(=O)C(F)=CN1,1,0.31,0.55442,3.48098,-3.32793,results/complex_1/rank1_confidence0.31.sdf
complex_1,O=C1NC(=O)C(F)=CN1,7,0.27,0.50905,3.49913,-3.14493,results/complex_1/rank7_confidence0.27.sdf
complex_1,O=C1NC(=O)C(F)=CN1,5,0.26,0.4923,3.42868,-2.77941,results/complex_1/rank5_confidence0.26.sdf
complex_1,O=C1NC(=O)C(F)=CN1,21,0.15,0.4768,3.51351,0.40372,results/complex_1/rank21_confidence0.15.sdf
complex_1,O=C1NC(=O)C(F)=CN1,5,0.28,0.46714,3.39072,-2.08024,results/complex_1/rank5_confidence0.28.sdf
complex_1,O=C1NC(=O)C(F)=CN1,11,0.23,0.46356,3.37374,-2.32967,results/complex_1/rank11_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,4,0.27,0.46182,3.37531,-2.06665,results/complex_1/rank4_confidence0.27.sdf
complex_1,O=C1NC(=O)C(F)=CN1,13,0.2,0.45025,3.38054,-2.79871,results/complex_1/rank13_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,27,-0.62,0.4469,3.50477,-1.17513,results/complex_1/rank27_confidence-0.62.sdf
complex_1,O=C1NC(=O)C(F)=CN1,27,-0.64,0.43551,3.50858,-1.40553,results/complex_1/rank27_confidence-0.64.sdf
complex_1,O=C1NC(=O)C(F)=CN1,13,0.21,0.43332,3.36028,-2.56394,results/complex_1/rank13_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,12,0.21,0.43229,3.42223,-2.93582,results/complex_1/rank12_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,15,0.2,0.42983,3.3612,-2.72445,results/complex_1/rank15_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,14,0.2,0.42475,3.35525,-2.56864,results/complex_1/rank14_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,7,0.24,0.4151,3.3408,-1.91611,results/complex_1/rank7_confidence0.24.sdf
complex_1,O=C1NC(=O)C(F)=CN1,18,0.2,0.41204,3.33265,-2.1518,results/complex_1/rank18_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,9,0.24,0.40927,3.33757,-1.85637,results/complex_1/rank9_confidence0.24.sdf
complex_1,O=C1NC(=O)C(F)=CN1,17,0.2,0.40852,3.32898,-2.0126,results/complex_1/rank17_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,16,0.2,0.40726,3.33206,-2.21173,results/complex_1/rank16_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,8,0.23,0.40644,3.32827,-1.92964,results/complex_1/rank8_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,11,0.21,0.40643,3.32044,-1.9569,results/complex_1/rank11_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,10,0.23,0.40523,3.33184,-1.88828,results/complex_1/rank10_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,9,0.22,0.40427,3.32326,-1.85066,results/complex_1/rank9_confidence0.22.sdf
complex_1,O=C1NC(=O)C(F)=CN1,23,0.13,0.40422,3.4337,-0.03839,results/complex_1/rank23_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,15,0.21,0.40391,3.39131,-0.62995,results/complex_1/rank15_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,4,0.2,0.40373,3.3235,-1.87118,results/complex_1/rank4_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,3,0.22,0.39928,3.34859,-1.44773,results/complex_1/rank3_confidence0.22.sdf
complex_1,O=C1NC(=O)C(F)=CN1,10,0.22,0.399,3.35841,-1.75324,results/complex_1/rank10_confidence0.22.sdf
complex_1,O=C1NC(=O)C(F)=CN1,18,0.19,0.39696,3.39768,-0.58195,results/complex_1/rank18_confidence0.19.sdf
complex_1,O=C1NC(=O)C(F)=CN1,22,0.13,0.39454,3.41726,0.05084,results/complex_1/rank22_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,14,0.21,0.39257,3.31118,-1.53395,results/complex_1/rank14_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,19,0.18,0.38067,3.3069,-1.22941,results/complex_1/rank19_confidence0.18.sdf
complex_1,O=C1NC(=O)C(F)=CN1,20,0.17,0.37805,3.34576,-1.58217,results/complex_1/rank20_confidence0.17.sdf
complex_1,O=C1NC(=O)C(F)=CN1,23,0.1,0.37368,3.34843,-1.89411,results/complex_1/rank23_confidence0.10.sdf
complex_1,O=C1NC(=O)C(F)=CN1,24,0.08,0.37262,3.4335,-1.83316,results/complex_1/rank24_confidence0.08.sdf
complex_1,O=C1NC(=O)C(F)=CN1,30,-1.58,0.37183,3.57169,-2.28512,results/complex_1/rank30_confidence-1.58.sdf
complex_1,O=C1NC(=O)C(F)=CN1,5,0.13,0.37022,3.36719,-0.6148,results/complex_1/rank5_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,20,0.16,0.36976,3.31091,-0.65898,results/complex_1/rank20_confidence0.16.sdf
complex_1,O=C1NC(=O)C(F)=CN1,22,0.14,0.3642,3.3195,-0.70291,results/complex_1/rank22_confidence0.14.sdf
complex_1,O=C1NC(=O)C(F)=CN1,29,-1.41,0.36079,3.38074,-1.54371,results/complex_1/rank29_confidence-1.41.sdf
complex_1,O=C1NC(=O)C(F)=CN1,30,-1.32,0.34863,3.50557,-2.45235,results/complex_1/rank30_confidence-1.32.sdf
complex_1,O=C1NC(=O)C(F)=CN1,24,0.04,0.32889,3.32679,-0.57599,results/complex_1/rank24_confidence0.04.sdf
complex_1,O=C1NC(=O)C(F)=CN1,26,-0.44,0.31957,3.36572,-2.51647,results/complex_1/rank26_confidence-0.44.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,2,-0.14,0.55179,5.39157,11.17307,results/complex_2/rank2_confidence-0.14.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,4,-0.48,0.53115,5.44692,6.6939,results/complex_2/rank4_confidence-0.48.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,3,-0.19,0.51468,5.29391,12.51381,results/complex_2/rank3_confidence-0.19.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,1,-0.14,0.51093,5.36434,6.40143,results/complex_2/rank1_confidence-0.14.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,5,-0.52,0.50853,5.22831,19.80583,results/complex_2/rank5_confidence-0.52.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,1,-0.01,0.50658,5.53853,2.60943,results/complex_2/rank1_confidence-0.01.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,6,-0.67,0.48415,5.14425,-0.51051,results/complex_2/rank6_confidence-0.67.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,1,0.1,0.44667,5.31347,0.67328,results/complex_2/rank1_confidence0.10.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,14,-1.79,0.44577,4.69735,8.58583,results/complex_2/rank14_confidence-1.79.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,11,-1.22,0.42915,5.29329,-1.32895,results/complex_2/rank11_confidence-1.22.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,19,-1.79,0.42546,5.27377,8.47895,results/complex_2/rank19_confidence-1.79.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,9,-1.19,0.42425,5.21693,-2.99281,results/complex_2/rank9_confidence-1.19.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,25,-1.99,0.42404,5.38987,-3.56329,results/complex_2/rank25_confidence-1.99.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,13,-1.77,0.41733,5.40841,-1.15955,results/complex_2/rank13_confidence-1.77.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,3,-1.37,0.41661,5.09644,16.99898,results/complex_2/rank3_confidence-1.37.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,23,-1.88,0.41545,5.15703,-2.41306,results/complex_2/rank23_confidence-1.88.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,3,-0.15,0.4057,5.29622,8.32009,results/complex_2/rank3_confidence-0.15.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,9,-0.87,0.40514,5.26468,-3.5966,results/complex_2/rank9_confidence-0.87.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,12,-1.65,0.39841,5.12901,-3.18891,results/complex_2/rank12_confidence-1.65.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,24,-1.93,0.39719,5.26764,7.24856,results/complex_2/rank24_confidence-1.93.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,2,-0.08,0.39573,5.15877,-2.97433,results/complex_2/rank2_confidence-0.08.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,17,-1.51,0.39297,5.34033,-3.76106,results/complex_2/rank17_confidence-1.51.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,16,-1.82,0.38202,4.71277,5.71304,results/complex_2/rank16_confidence-1.82.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,18,-1.73,0.37137,5.10701,0.38506,results/complex_2/rank18_confidence-1.73.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,16,-1.48,0.3602,4.87421,6.42344,results/complex_2/rank16_confidence-1.48.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,5,-0.56,0.34275,5.27715,-5.75179,results/complex_2/rank5_confidence-0.56.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,15,-1.79,0.34121,5.03554,3.43691,results/complex_2/rank15_confidence-1.79.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,4,-0.47,0.31826,5.04714,-1.77967,results/complex_2/rank4_confidence-0.47.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.26,0.58581,7.06298,-7.00287,results/complex_0/rank1_confidence-0.26.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,9,-1.25,0.55734,6.69149,9.85306,results/complex_0/rank9_confidence-1.25.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.54,0.5497,6.80693,2.47468,results/complex_0/rank3_confidence-0.54.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,10,-1.29,0.54677,6.8091,15.80099,results/complex_0/rank10_confidence-1.29.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,8,-0.94,0.54504,6.88027,-0.84823,results/complex_0/rank8_confidence-0.94.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,6,-0.67,0.54466,6.85133,-0.47284,results/complex_0/rank6_confidence-0.67.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,11,-1.4,0.53591,6.78769,13.31971,results/complex_0/rank11_confidence-1.40.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,4,-0.72,0.53397,6.98296,4.77922,results/complex_0/rank4_confidence-0.72.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,13,-1.66,0.53349,6.62388,22.80073,results/complex_0/rank13_confidence-1.66.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.07,0.52499,7.01372,-6.77595,results/complex_0/rank1_confidence-0.07.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.76,0.51276,7.02838,1.1634,results/complex_0/rank1_confidence-0.76.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,2,-0.42,0.49561,6.76211,-4.68975,results/complex_0/rank2_confidence-0.42.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.44,0.47729,6.76693,-5.62703,results/complex_0/rank3_confidence-0.44.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,8,-1.21,0.47455,6.68472,-1.16643,results/complex_0/rank8_confidence-1.21.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,12,-1.45,0.47429,6.6703,9.63334,results/complex_0/rank12_confidence-1.45.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,7,-0.75,0.46501,6.68409,-3.47517,results/complex_0/rank7_confidence-0.75.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,15,-1.64,0.46125,6.63835,7.27439,results/complex_0/rank15_confidence-1.64.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,9,-1.05,0.44648,6.85133,1.35805,results/complex_0/rank9_confidence-1.05.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,6,-1.08,0.44419,6.53233,0.49879,results/complex_0/rank6_confidence-1.08.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.23,0.44187,6.73963,-3.62677,results/complex_0/rank1_confidence-0.23.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,11,-1.34,0.4398,6.70125,7.98069,results/complex_0/rank11_confidence-1.34.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,4,-0.58,0.43872,6.50587,9.07832,results/complex_0/rank4_confidence-0.58.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.48,0.43285,6.73042,5.15645,results/complex_0/rank3_confidence-0.48.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,4,-0.53,0.43075,6.65273,5.82792,results/complex_0/rank4_confidence-0.53.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,18,-1.7,0.42878,6.50959,19.48548,results/complex_0/rank18_confidence-1.70.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,5,-0.88,0.4194,6.67874,1.89516,results/complex_0/rank5_confidence-0.88.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,15,-1.6,0.41803,6.57265,8.81371,results/complex_0/rank15_confidence-1.60.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,14,-1.8,0.4137,6.52283,9.80894,results/complex_0/rank14_confidence-1.80.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,14,-1.57,0.41242,6.51965,4.55844,results/complex_0/rank14_confidence-1.57.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,20,-1.78,0.40814,6.57197,8.17734,results/complex_0/rank20_confidence-1.78.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,19,-1.73,0.40329,6.51488,16.28157,results/complex_0/rank19_confidence-1.73.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,12,-1.54,0.40096,6.6097,6.65298,results/complex_0/rank12_confidence-1.54.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,17,-1.64,0.40003,6.4662,17.33925,results/complex_0/rank17_confidence-1.64.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,17,-1.97,0.39823,6.82561,7.36696,results/complex_0/rank17_confidence-1.97.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,15,-1.9,0.3953,6.84825,5.13909,results/complex_0/rank15_confidence-1.90.sdf
